plot;Shrub_ID;S1;S8;S7;S6;S5;S4;S3;S2;Density
D32;1401;;GaJa;CaCh;;GaJa;GaJa;GaJa;CaCh;6
I29;0504;CaCh;GaJa;CaCh;DiMy;;;CaCh;GaJa;6
I29;0610;;DiBu;;;ArCr;GaJa;;GaJa;4
I29;1303;CaCh;GaJa;;;CaCh;;;DiBu;4
G21;1008;RhIn;GaJa;;SyBu;;;GaJa;;4
N14;1019;;;GaJa;;;;;;1
M11;0218;EuMu;DiBu;;;DiBu;DiBu;DiBu;;5
M11;1802;DiMy;;DiBu;SyBu;;GaJa;;EuMu;5
O12;0817;;;;LoCh;;;;;1
O12;1012;;;;;;EuMu;;;1
O12;1205;;;;;;DiBu;;LoCh;2
N27;0306;EuMu;CaCh;EuMu;CaCh;DiMy;DiMy;LoCh;EuMu;8
N27;1107;;CaCh;CaCh;CaCh;DiMy;EuMu;EuMu;CaCh;7
D33;0703;;CaCh;;;;CaCh;DiMy;;3
G31;1908;;CaCh;;ArCr;;;;Unknown;3
H30;0315;CaCh;;;DiMy;DiMy;;;;3
H30;0709;;;CaCh;CaCh;CaCh;;RhIn;;4
G21;0406;;;;;SyBu;;;SyBu;2
G21;1809;;;;DiMy;;;;GaJa;2
N14;0415;;;DiBu;;;;;;0
N14;1311;EuMu;;;;;;;CaCh;2
M11;0514;;;;;DiBu;CaCh;;DiBu;3
X14;0102;;DiMy;LoCh;CaCh;;;;GaJa;4
X14;1503;;;CaCh;GaJa;;LoCh;CaCh;GaJa;5
X14;1511;ArCr;;GaJa;LoCh;GaJa;GaJa;;GaJa;6
N27;1512;;;;LoCh;;DiMy;DiMy;EuMu;4
O25;1006;LoCh;DiMy;;LoCh;GaJa;GaJa;GaJa;CaCh;7
O26;0406;DiMy;RhIn;DiMy;DiMy;DiMy;DiMy;CaCh;CaCh;8
O26;1214;RhIn;;;DiMy;;DiMy;DiMy;;4
Q20;0205;;;ArCr;EuMu;;CaCh;DiMy;;4
D33;0610;RhIn;;;;ArCr;CaCh;DiMy;;4
G26;0214;DiMy;;SyBu;;;DiMy;;;3
G26;0512;CaCh;GaJa;RhIn;DiMy;;;RhIn;DiMy;6
H27;0318;;CaCh;;CaCh;DiMy;DiMy;CaCh;GaJa;6
I26;0010;;;;;SyBu;;;;1
I26;1711;SyBu;CaCh;;SyBu;CaCh;CaCh;SyBu;;6
S9;1108;;CaCh;;;;CaCh;;CaCh;3
T10;0617;;;;LoCh;CaCh;;;;2
L21;1601;DiBu;RhIn;RhIn;LoCh;;SyBu;RhIn;GaJa;7
L21;0816;;GaJa;;RhIn;GaJa;SyBu;;;4
Q20;0317;;ArCr;CaCh;GaJa;CaCh;CaCh;SyBu;SyBu;7
Q20;0415;CaCh;;;DiMy;GaJa;CaCh;ArCr;;5
G26;0116;;;DiMy;;;;;SyBu;2
S9;0404;;CaCh;;CaCh;EuMy;;CaCh;;4
L21;0600;;;;;;EuMu;SyBu;;2
I29;0208;CaCh;Unknown;LoCh;;CaCh;DiBu;;GaJa;6
I29;0717;LoCh;CaCh;ArCr;GaJa;CaCh;DiMy;DiMy;CaCh;8
I29;1218;DiBu;;LoCh;;LoCh;LoCh;DiMy;DiBu;6
G21;0410;GaJa;;;DiMy;;;;;2
G21;0812;EuMu;;DiMy;DiMy;;;;;3
M11;1616;;;;;;;;DiBu;1
O11;0303;CaCh;DiMy;DiMy;;;DiBu;;DiMy;5
O12;0016;;;;;;CaCh;DiBu;DiBu;3
O12;0712;DiBu;DiBu;DiBu;;GaJa;;;EuMu;5
N27;0104;EuMu;EuMu;LoCh;CaCh;EuMu;EuMu;EuMu;CaCh;8
N27;0804;;LoCh;;EuMu;CaCh;CaCh;EuMu;DiMy;6
F35;0306;;DiMy;;DiMy;;;;DiMy;3
F35;1113;;;;;;;DiMy;;1
H30;0606;;GaJa;;;;CaCh;;;2
H30;0611;DiMy;RhIn;;;CaCh;;CaCh;CaCh;5
H30;1010;RhIn;;DiMy;RhIn;DiMy;;;DiMy;5
G26;0912;DiMy;CaCh;DiMy;;;DiMy;;CaCh;5
H27;0005;GaJa;DiMy;;EuMu;;GaJa;;;4
G21;1816;;;;;;;;;0
M13;0909;;;SyBu;LoCh;DiMy;LoCh;;CaCh;5
M13;1309;LoCh;DiMy;SyBu;;CaCh;;DiMy;LoCh;6
M13;1816;;;;;DiMy;SyBu;;;2
M11;1108;GaJa;DiMy;EuMu;GaJa;RhIn;DiBu;;;6
M11;1613;;LoCh;EuMu;;;;;LoCh;3
