PLOT;TSQ_ID;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;Density
D32;1401;NySi;CaHe;D;M;CaHe;CaHe;NySi;NySi;M;CaHe;NySi;M;8
D33;0610;D;D;NySi;M;M;NySi;CaHe;M;M;M;M;D;3
D33;0703;NySi;M;NySi;M;D;M;NySi;NySi;NySi;NySi;CaHe;D;7
G31;1908;SaSa;M;M;SaSa;LiFo;D;SaSa;LiFo;LiFo;LiFo;M;M;7
H30;0315;M;SaSa;SaSa;LiFo;LiFo;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;LiFo;11
H30;0709;LiFo;LiFo;LiFo;LiFo;SaSa;M;M;LiFo;SaSa;M;M;LiFo;8
I29;0504;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;12
I29;0610;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;12
I29;1303;D;LiFo;LiFo;LiFo;LiFo;D;LiFo;LiFo;LiFo;D;LiFo;LiFo;9
G26;0116;M;TrSe;ChAx;ChAx;CaSc;M;M;M;ChAx;QuSe;TrSe;M;7
G26;0214;QuSe;M;M;M;QuSe;ChAx;M;M;M;M;M;TrSe;4
G26;0512;M;M;M;M;CaSc;M;M;M;ChAx;QuSe;QuSe;CaSc;5
H27;0318;M;M;ChAx;M;M;M;M;TrSe;D;M;QuAc;ChAx;4
I26;0010;M;M;M;M;M;M;ChAx;ChAx;M;ChAx;ChAx;M;4
I26;1711;M;M;ChAx;ChAx;M;M;ChAx;M;ChAx;M;M;M;4
G21;0406;QuSe;QuSe;QuSe;QuSe;M;QuSe;QuSe;QuSe;QuSe;M;QuSe;QuSe;10
G21;1008;QuSe;QuSe;QuSe;M;QuSe;QuSe;QuSe;D;QuSe;QuSe;QuSe;D;9
G21;1809;QuSe;QuSe;M;D;QuSe;M;M;M;M;M;QuSe;QuSe;5
N14;0415;TrSe;M;TrSe;TrSe;M;TrSe;M;M;TrSe;M;M;TrSe;6
N14;1019;TrSe;TrSe;TrSe;TrSe;M;TrSe;TrSe;TrSe;TrSe;TrSe;TrSe;TrSe;11
N14;1311;D;TrSe;M;TrSe;TrSe;M;TrSe;M;TrSe;M;TrSe;M;6
M11;0218;CaSc;CaSc;CaSc;M;M;M;M;CaSc;M;M;CaSc;M;5
M11;0514;CaSc;M;CaSc;CaSc;M;M;CaSc;CaSc;CaSc;CaSc;CaSc;M;8
M11;1802;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;SaSa;SaSa;M;SaSa;CaSc;CaSc;11
O12;0817;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;12
O12;1012;SaSa;M;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;SaSa;11
O12;1205;SaSa;SaSa;SaSa;SaSa;M;SaSa;SaSa;SaSa;SaSa;SaSa;M;M;9
S9;0404;M;SaSa;ChAx;M;CaSc;ChAx;SaSa;ChAx;LiFo;ChAx;SaSa;M;9
S9;1108;LiFo;QuSe;SaSa;SaSa;M;M;M;M;NySi;LiFo;ChAx;M;7
T10;0617;ChAx;M;NySi;D;M;M;ChAx;M;SaSa;QuSe;M;M;5
X14;0102;NySi;NySi;M;M;M;NySi;NySi;M;NySi;NySi;NySi;D;7
X14;1503;NySi;NySi;NySi;M;NySi;NySi;M;M;NySi;NySi;M;D;7
X14;1511;M;NySi;D;M;NySi;M;NySi;M;NySi;M;NySi;M;5
N27;0306;ChAx;M;ChAx;ChAx;M;ChAx;M;M;ChAx;M;ChAx;M;6
N27;1107;ChAx;M;ChAx;M;ChAx;M;ChAx;M;M;M;ChAx;M;5
N27;1512;D;ChAx;M;ChAx;ChAx;ChAx;M;M;ChAx;M;M;M;5
O25;1006;M;CaSc;M;QuSe;CaSc;QuSe;CaSc;QuSe;QuSe;CaSc;CaSe;CaSc;10
O26;0406;QuSe;M;QuSe;CaSc;M;M;CaSc;M;CaSc;M;M;M;5
O26;1214;CaSc;QuSe;M;M;M;M;M;D;CaSc;QuSe;M;M;4
L21;1601;M;QuAc;NySi;LiFo;TrSe;M;M;LiFo;CyGl;LiGl;M;M;7
L21;0600;M;LiGl;M;M;ChAx;CaSc;QuAc;M;QuAc;QuSe;M;QuSe;7
L21;0816;M;ScSu;M;CaSc;ChAx;LiGl;CaSc;LiGl;M;CaSc;QuAc;M;8
Q20;0205;NySi;D;SaSa;LiFo;M;LiFo;M;LiFo;NySi;CaHe;LiFo;CaHe;8
Q20;0317;CaHe;NySi;NySi;SaSa;NySi;CaHe;M;NySi;SaSa;LiFo;M;NySi;10
Q20;0415;M;CaHe;NySi;SaSa;CaHe;SaSa;M;NySi;CaHe;SaSa;CaHe;M;9
E34;0216;CaHe;M;CaHe;D;M;M;M;M;M;M;CaHe;M;3
E34;0604;M;M;M;M;M;D;M;M;M;M;M;M;0
C32;1612;CaHe;NySi;M;NySi;NySi;D;M;NySi;NySi;M;M;D;6
C32;0110;M;M;NySi;NySi;M;NySi;CaHe;M;M;M;M;NySi;5
H31;0403;SaSa;LiFo;M;LiFo;M;SaSa;D;SaSa;LiFo;SaSa;M;M;7
H31;0901;SaSa;SaSa;SaSa;SaSa;SaSa;M;LiFo;SaSa;SaSa;LiFo;LiFo;SaSa;11
H31;0217;LiFo;LiFo;SaSa;M;LiFo;LiFo;M;LiFo;SaSa;LiFo;LiFo;M;9
H31;1017;M;SaSa;M;LiFo;SaSa;M;SaSa;SaSa;SaSa;M;M;D;6
I28;0503;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;12
I28;0412;LiFo;LiFo;LiFo;M;M;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;10
I28;0210;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;12
I28;0402;LiFo;LiFo;LiFo;D;LiFo;LiFo;LiFo;LiFo;LiFo;LiFo;D;LiFo;10
F27;0517;CaSc;ChAx;CaSc;CaSc;SaSe;D;SaSe;ChAx;CaSc;CaSc;CaSc;M;10
F27;1201;M;SaSe;QuSe;CaSc;M;M;M;D;CaSc;CaSc;QuSe;CaSc;7
I27;0007;M;M;M;M;ChAx;ChAx;ChAx;M;SaSe;M;ChAx;D;5
I27;0803;M;ChAx;ChAx;ChAx;ChAx;M;ChAx;M;ChAx;M;ChAx;M;7
I27;1007;D;SaSe;ChAx;ChAx;ChAx;ChAx;M;M;ChAx;M;ChAx;SaSe;8
F21;1014;QuSe;QuSe;M;QuSe;QuSe;QuSe;M;QuSe;QuSe;QuSe;QuSe;QuSe;10
F21;0317;QuSe;QuSe;QuSe;M;QuSe;QuSe;QuSe;QuSe;M;QuSe;QuSe;QuSe;10
N13;0808;SaSe;SaSe;SaSe;M;SaSe;SaSe;D;SaSe;M;SaSe;SaSe;M;9
N13;0505;M;SaSe;SaSe;M;M;SaSe;SaSe;SaSe;SaSe;SaSe;SaSe;SaSe;9
L11;0812;M;CaSc;M;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;CaSc;10
N11;1510;M;SaSa;SaSa;SaSa;SaSa;M;D;SaSa;SaSa;SaSa;M;SaSa;8
N11;0306;SaSa;D;SaSa;SaSa;SaSa;SaSa;M;SaSa;SaSa;D;SaSa;SaSa;9
S10;0716;M;CaSc;M;CaSc;D;M;NySi;NySi;M;M;ChAx;CaSc;6
S10;0004;LiGl;M;M;M;CaHe;CaSc;ChAx;ChAx;M;LiFo;LiFo;SaSe;8
W14;0614;NySi;NySi;NySi;NySi;NySi;NySi;NySi;D;NySi;NySi;NySi;M;10
W14;0511;NySi;NySi;NySi;NySi;NySi;M;NySi;NySi;M;NySi;NySi;NySi;10
O27;1507;ChAx;D;D;ChAx;D;M;ChAx;ChAx;ChAx;ChAx;ChAx;M;7
