plot;Shrub_ID;S1;S2;S3;S4;S5;S6;S7;S8;;;;;;;;;;;;;;;;;;
M8;1809;M ;M;M;M;M;RhOv;M ;M;;;;;;;;;;;;;;;;;;
N8;0212;DiBu;DiBu;ViSe;M;PhGl;M;M ;M;;;;;;;;;;;;;;;;;;
M8;1717;M ;M;M;M;ItOm;M;M ;M;;;;;;;;;;;;;;;;;;
N8;1202;M;DiBu;M;M;M;M;ViSe;M;;;;;;;;;;;;;;;;;;
N8;0615;M;ViSe;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
N8;0904;DiBu;ViSe;M;M;DiBu;M;M;SyBu;;;;;;;;;;;;;;;;;;
M7;1601;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
M7;1800;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
S12;1213;M;M;DiBu;M;M;M;M;HyCh;;;;;;;;;;;;;;;;;;
S12;0310;M;RhSi;M;M;DiBu;ViSe;M;M;;;;;;;;;;;;;;;;;;
S12;1209;M;M;Unknown;Unknown;LoCh;DiBu;M;LoCh;;;;;;;;;;;;;;;;;;
S12;1504;ViSe;M;DiBu;RhOv;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
S12;0708;M;ViSe;ItOm;M;Unknown;M;LoCh;M;;;;;;;;;;;;;;;;;;
S13;1419;M;M;ViSe;M;DiBu;M;M;M;;;;;;;;;;;;;;;;;;
T13;1117;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
T13;1612;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
U24;1117;ItOm;M;ItOm;Unknown;DiBu;M;M;M;;;;;;;;;;;;;;;;;;
U24;1403;SyBu;M;M;Unknown;M;M;M;M;;;;;;;;;;;;;;;;;;
U24;0406;DiBu;M;M;M;M;M;M;M;;;;;;;;;;;;;;;;;;
V24;1312;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
V24;1105;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
J25;0508;M;M;M;M;M;Unknown;M;M;;;;;;;;;;;;;;;;;;
J25;1004;PhHi;RhSi;M;SyBu;M;M;RhSi;SyBu;;;;;;;;;;;;;;;;;;
J25;0009;M;M;SyBu;M;M;M;M;M;;;;;;;;;;;;;;;;;;
J25;1211;M;ViSe;PhGl;M;M;M;M;DiBu;;;;;;;;;;;;;;;;;;
J25;0818;M;M;M;M;M;M;RhSi;M;;;;;;;;;;;;;;;;;;
J25;1300;M;ItOm;HyCh;DiBu;ViSe;Unknown;M;ItOm;;;;;;;;;;;;;;;;;;
I25;0607;NA;NA;NA;NA;NA;NA;NA;NA;;;;;;;;;;;;;;;;;;
